id	Arousal	Dominance	Valence	sentence
Acephalous-Cant-believe_4_47	3.0	3.0	3.0	b'I cant believe I wrote all that last year'
Acephalous-Cant-believe_83_354	3.0	3.0	3.0	b'Because Ive been grading all damn day and am as tired as a Swearengen of hearing other about the finished semesters of pretty much every other academic blogger I thought that it might be best to avoid jealously lashing out and scribble a Best of Acephalous 2009 post'
Acephalous-Cant-believe_355_499	3.0	3.0	3.0	b'However when I started looking through my archives it occurred to me that my output this year defines me much more sharply than in years past'
Acephalous-Cant-believe_500_515	3.0	3.0	3.0	b'What do I mean'
Acephalous-Cant-believe_517_626	3.0	3.0	3.0	b'The posts I consider foundational to my current professional identity all seem to have been composed in 2009'
Acephalous-Cant-believe_627_817	3.0	3.0	3.0	b'Granted the likelihood that Im suffering from the identitarian equivalent of presentism is awfully high but I honestly thought Id written some of the posts from early 2009 in 2006 or so'
Acephalous-Cant-believe_819_984	3.0	3.0	3.0	b'It may also be that I remember the scene of their writing which would have been in the old apartment ie the place I barely remember ever having lived in anymore'
Acephalous-Cant-believe_986_1160	3.0	3.0	3.0	b'If you have absolutely nothing better to do on a Friday night feel free to scan through my 2009 archives and tell me what you think should be included in the Best of post'
Acephalous-Cant-believe_1162_1229	3.0	3.0	3.0	b'If you do have something better to do though by all means do it '
Acephalous-Cant-believe_1266_1336	3.0	3.0	3.0	b'Why is someone so young not having fun with friends on a Friday night'
Acephalous-Cant-believe_1337_1409	3.0	3.0	3.0	b'Granted grading papers is important but no fun makes for a boring life'
Acephalous-Cant-believe_1410_1424	3.0	3.0	3.0	b'I should know'
Acephalous-Cant-believe_1426_1520	3.0	3.0	3.0	b'since when I was your age I had fun playing with my adorable son and caring for another baby'
Acephalous-Cant-believe_1521_1574	3.0	3.0	3.0	b'You need to try to have a life outside your computer'
Acephalous-Cant-believe_1575_1667	3.0	3.0	3.0	b'Just sayingit seems I have more life now then you have and we know how little I get out'
Acephalous-Cant-believe_1726_1817	3.0	3.0	3.0	b'The one that really stuck in my mind was explaining transitions in the panels of Watchmen '
Acephalous-Cant-believe_1818_2022	3.0	3.0	3.0	b'Id read Watchmen a short while before and appreciated its narrative complexity but not being used to reading comics hadnt registered all the technical tricks that the artist was using to achieve this'
Acephalous-Cant-believe_2023_2191	3.0	3.0	3.0	b'The post not only taught me something about the grammar of such images but more importantly led to me realising that there is a grammar to look for in the first place'
Acephalous-Cant-believe_2192_2221	3.0	3.0	3.0	b'So thanks a lot for that one'
Acephalous-Cant-believe_2281_2572	3.0	3.0	3.0	b'SEK I started going through your back posts and noticed a pattern in my selections so I think it would be easier for me because Im rubbish with html to just say all the scene analysis posts and the close reading comics posts like the one Magistra mentioned and many others after that'
Acephalous-Cant-believe_2573_2641	3.0	3.0	3.0	b'Plus Justifying Comics as a Legitimate Object of Study Parts I  II'
Acephalous-Cant-believe_2642_2690	3.0	3.0	3.0	b'I also liked Teaching the Overdetermined Image'
Acephalous-Cant-believe_2692_2836	3.0	3.0	3.0	b'Your takedown of Cashill and the whole AyerswroteDreams was excellent and the Cruelcrueldeath post you know what Im talking about right'
Acephalous-Cant-believe_2840_2928	3.0	3.0	3.0	b'Also The Day in Actual Communist and Real Nazi History seems as relevant today as ever'
Acephalous-Cant-believe_2985_3022	3.0	3.0	3.0	b'Agree with the previous two comments'
Acephalous-Cant-believe_3023_3152	3.0	3.0	3.0	b'I dont remember if youve made noises here before about turning these into a book but if you do youve got at least one reader'
Acephalous-Cant-believe_3215_3283	3.0	3.0	3.0	b'What happened to your post that appeared in my RSS reader yesterday'
Acephalous-Cant-believe_3342_3496	3.0	3.0	3.0	b'Would it be possible to arrange your posts into three parties and give your many readers the opportunity to vote for one of them by secret ballot'
Acephalous-Cant-believe_3497_3547	3.0	3.0	3.0	b'I feel your British readers would appreciate that'
